cuda available with GPU: NVIDIA RTX A6000
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=1.39, train_acc=0.53, val_acc=0.46, time=3.76
Epoch 38: train_loss=0.65, train_acc=0.65, val_acc=0.59, time=0.52
Epoch 39: train_loss=0.55, train_acc=0.70, val_acc=0.53, time=0.51
Epoch 40: train_loss=0.56, train_acc=0.69, val_acc=0.59, time=0.46
Epoch 41: train_loss=0.58, train_acc=0.69, val_acc=0.53, time=0.48
Epoch 42: train_loss=0.60, train_acc=0.65, val_acc=0.50, time=0.50
Epoch 43: train_loss=0.54, train_acc=0.70, val_acc=0.53, time=0.47
Epoch 44: train_loss=0.56, train_acc=0.71, val_acc=0.56, time=0.42
Epoch 45: train_loss=0.56, train_acc=0.71, val_acc=0.59, time=0.42
Epoch 46: train_loss=0.56, train_acc=0.67, val_acc=0.50, time=0.45
Epoch 47: train_loss=0.51, train_acc=0.75, val_acc=0.56, time=0.48
Epoch 48: train_loss=0.51, train_acc=0.74, val_acc=0.59, time=0.43
Epoch 49: train_loss=0.52, train_acc=0.73, val_acc=0.53, time=0.40
Epoch 50: train_loss=0.49, train_acc=0.74, val_acc=0.53, time=0.43
Epoch 51: train_loss=0.49, train_acc=0.75, val_acc=0.59, time=0.50
Epoch 52: train_loss=0.48, train_acc=0.77, val_acc=0.65, time=0.55
Epoch 53: train_loss=0.50, train_acc=0.73, val_acc=0.56, time=0.53
Epoch 54: train_loss=0.49, train_acc=0.75, val_acc=0.59, time=0.45
Epoch 55: train_loss=0.49, train_acc=0.76, val_acc=0.62, time=0.52
Epoch 56: train_loss=0.52, train_acc=0.73, val_acc=0.62, time=0.45
Epoch 57: train_loss=0.52, train_acc=0.70, val_acc=0.65, time=0.40
Epoch 58: train_loss=0.50, train_acc=0.74, val_acc=0.59, time=0.51
Epoch 59: train_loss=0.48, train_acc=0.76, val_acc=0.59, time=0.49
Epoch 60: train_loss=0.49, train_acc=0.74, val_acc=0.65, time=0.48
Epoch 61: train_loss=0.48, train_acc=0.76, val_acc=0.53, time=0.51
Epoch 62: train_loss=0.48, train_acc=0.75, val_acc=0.56, time=0.63
Epoch 63: train_loss=0.48, train_acc=0.76, val_acc=0.59, time=0.53
Epoch 64: train_loss=0.48, train_acc=0.76, val_acc=0.59, time=0.64
Epoch 65: train_loss=0.47, train_acc=0.75, val_acc=0.62, time=0.54
Epoch 66: train_loss=0.48, train_acc=0.76, val_acc=0.62, time=0.54
Epoch 67: train_loss=0.51, train_acc=0.74, val_acc=0.62, time=0.53
Epoch 68: train_loss=0.50, train_acc=0.73, val_acc=0.56, time=0.55
Epoch 69: train_loss=0.52, train_acc=0.75, val_acc=0.62, time=0.61
Epoch 70: train_loss=0.52, train_acc=0.73, val_acc=0.53, time=0.49
Epoch 71: train_loss=0.47, train_acc=0.75, val_acc=0.56, time=0.56
Epoch 72: train_loss=0.47, train_acc=0.74, val_acc=0.62, time=0.52
Epoch 73: train_loss=0.47, train_acc=0.76, val_acc=0.56, time=0.54
Epoch 74: train_loss=0.47, train_acc=0.75, val_acc=0.59, time=0.57
Epoch 75: train_loss=0.46, train_acc=0.75, val_acc=0.56, time=0.57
Epoch 76: train_loss=0.46, train_acc=0.76, val_acc=0.59, time=0.54
Epoch 77: train_loss=0.45, train_acc=0.77, val_acc=0.53, time=0.46
Epoch 78: train_loss=0.46, train_acc=0.75, val_acc=0.59, time=0.59
Epoch 79: train_loss=0.46, train_acc=0.76, val_acc=0.56, time=0.60
Epoch 80: train_loss=0.46, train_acc=0.75, val_acc=0.62, time=0.55
Epoch 81: train_loss=0.45, train_acc=0.78, val_acc=0.56, time=0.58
Epoch 82: train_loss=0.45, train_acc=0.78, val_acc=0.62, time=0.47
Epoch 83: train_loss=0.45, train_acc=0.77, val_acc=0.59, time=0.54
Epoch 84: train_loss=0.45, train_acc=0.77, val_acc=0.62, time=0.50
Epoch 85: train_loss=0.44, train_acc=0.78, val_acc=0.56, time=0.47
Epoch 86: train_loss=0.44, train_acc=0.77, val_acc=0.62, time=0.43
Epoch 87: train_loss=0.44, train_acc=0.78, val_acc=0.68, time=0.53
Epoch 88: train_loss=0.44, train_acc=0.75, val_acc=0.56, time=0.54
Epoch 89: train_loss=0.45, train_acc=0.77, val_acc=0.56, time=0.44
Epoch 90: train_loss=0.44, train_acc=0.77, val_acc=0.62, time=0.52
Epoch 91: train_loss=0.46, train_acc=0.75, val_acc=0.62, time=0.54
Epoch 92: train_loss=0.46, train_acc=0.76, val_acc=0.56, time=0.55
Epoch 93: train_loss=0.48, train_acc=0.77, val_acc=0.62, time=0.50
Epoch 94: train_loss=0.46, train_acc=0.76, val_acc=0.56, time=0.51
Epoch 95: train_loss=0.45, train_acc=0.78, val_acc=0.56, time=0.57
Epoch 96: train_loss=0.45, train_acc=0.78, val_acc=0.56, time=0.53
Epoch 97: train_loss=0.44, train_acc=0.78, val_acc=0.62, time=0.54
Epoch 98: train_loss=0.43, train_acc=0.82, val_acc=0.59, time=0.53
Epoch 99: train_loss=0.42, train_acc=0.78, val_acc=0.62, time=0.57
Epoch 100: train_loss=0.42, train_acc=0.78, val_acc=0.62, time=0.47
Epoch 101: train_loss=0.42, train_acc=0.80, val_acc=0.62, time=0.55
Epoch 102: train_loss=0.42, train_acc=0.79, val_acc=0.62, time=0.51
Epoch 103: train_loss=0.41, train_acc=0.82, val_acc=0.59, time=0.53
Epoch 104: train_loss=0.41, train_acc=0.79, val_acc=0.62, time=0.52
Epoch 105: train_loss=0.41, train_acc=0.80, val_acc=0.56, time=0.56
Epoch 106: train_loss=0.41, train_acc=0.80, val_acc=0.62, time=0.52
Epoch 107: train_loss=0.41, train_acc=0.80, val_acc=0.65, time=0.58
Epoch 108: train_loss=0.41, train_acc=0.80, val_acc=0.62, time=0.54
Epoch 109: train_loss=0.41, train_acc=0.80, val_acc=0.65, time=0.50
Epoch 110: train_loss=0.41, train_acc=0.80, val_acc=0.56, time=0.51
Epoch 111: train_loss=0.41, train_acc=0.80, val_acc=0.56, time=0.51
Epoch 112: train_loss=0.41, train_acc=0.79, val_acc=0.62, time=0.53
Epoch 113: train_loss=0.40, train_acc=0.80, val_acc=0.62, time=0.59
Epoch 114: train_loss=0.40, train_acc=0.81, val_acc=0.65, time=0.50
Epoch 115: train_loss=0.40, train_acc=0.82, val_acc=0.65, time=0.45
Epoch 116: train_loss=0.40, train_acc=0.80, val_acc=0.65, time=0.56
Epoch 117: train_loss=0.40, train_acc=0.80, val_acc=0.59, time=0.46
Epoch 118: train_loss=0.40, train_acc=0.81, val_acc=0.65, time=0.48
Epoch 119: train_loss=0.40, train_acc=0.80, val_acc=0.62, time=0.53
Epoch 120: train_loss=0.40, train_acc=0.82, val_acc=0.65, time=0.49
Epoch 121: train_loss=0.40, train_acc=0.80, val_acc=0.65, time=0.57
Epoch 122: train_loss=0.41, train_acc=0.81, val_acc=0.59, time=0.46
Epoch 123: train_loss=0.41, train_acc=0.78, val_acc=0.62, time=0.50
Epoch 124: train_loss=0.40, train_acc=0.81, val_acc=0.62, time=0.56
Epoch 125: train_loss=0.40, train_acc=0.81, val_acc=0.62, time=0.50
Epoch 126: train_loss=0.40, train_acc=0.81, val_acc=0.65, time=0.68
Epoch 127: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.66
Epoch 128: train_loss=0.40, train_acc=0.81, val_acc=0.59, time=0.58
Epoch 129: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.59
Epoch 130: train_loss=0.40, train_acc=0.82, val_acc=0.65, time=0.49
Epoch 131: train_loss=0.39, train_acc=0.81, val_acc=0.62, time=0.46
Epoch 132: train_loss=0.40, train_acc=0.82, val_acc=0.62, time=0.53
Epoch 133: train_loss=0.39, train_acc=0.82, val_acc=0.65, time=0.60
Epoch 134: train_loss=0.40, train_acc=0.82, val_acc=0.59, time=0.52
Epoch 135: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.50
Epoch 136: train_loss=0.39, train_acc=0.82, val_acc=0.65, time=0.49
Epoch 137: train_loss=0.39, train_acc=0.82, val_acc=0.65, time=0.49
Epoch 138: train_loss=0.39, train_acc=0.81, val_acc=0.59, time=0.52
Epoch 139: train_loss=0.39, train_acc=0.83, val_acc=0.62, time=0.56
Epoch 140: train_loss=0.40, train_acc=0.82, val_acc=0.68, time=0.60
Epoch 141: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.62
Epoch 142: train_loss=0.39, train_acc=0.81, val_acc=0.62, time=0.69
Epoch 143: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.61
Epoch 144: train_loss=0.39, train_acc=0.81, val_acc=0.65, time=0.54
Epoch 145: train_loss=0.39, train_acc=0.81, val_acc=0.62, time=0.63
Epoch 146: train_loss=0.38, train_acc=0.83, val_acc=0.62, time=0.60
Epoch 147: train_loss=0.39, train_acc=0.81, val_acc=0.62, time=0.71
Epoch 148: train_loss=0.39, train_acc=0.82, val_acc=0.65, time=0.67
Epoch 149: train_loss=0.39, train_acc=0.81, val_acc=0.68, time=0.62
Epoch 150: train_loss=0.38, train_acc=0.82, val_acc=0.56, time=0.64
Epoch 151: train_loss=0.38, train_acc=0.83, val_acc=0.62, time=0.59
Epoch 152: train_loss=0.38, train_acc=0.82, val_acc=0.62, time=0.60
Epoch 153: train_loss=0.38, train_acc=0.81, val_acc=0.59, time=0.66
Epoch 154: train_loss=0.38, train_acc=0.82, val_acc=0.62, time=0.54
Epoch 155: train_loss=0.38, train_acc=0.83, val_acc=0.62, time=0.72
Epoch 156: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.58
Epoch 157: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.79
Epoch 158: train_loss=0.38, train_acc=0.84, val_acc=0.65, time=0.63
Epoch 159: train_loss=0.38, train_acc=0.81, val_acc=0.65, time=0.69
Epoch 160: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.61
Epoch 161: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.72
Epoch 162: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.68
Epoch 163: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.64
Epoch 164: train_loss=0.38, train_acc=0.82, val_acc=0.62, time=0.81
Epoch 165: train_loss=0.38, train_acc=0.83, val_acc=0.65, time=0.59
Epoch 166: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.58
Epoch 167: train_loss=0.37, train_acc=0.83, val_acc=0.59, time=0.62
Epoch 168: train_loss=0.38, train_acc=0.82, val_acc=0.62, time=0.58
Epoch 169: train_loss=0.38, train_acc=0.84, val_acc=0.65, time=0.65
Epoch 170: train_loss=0.37, train_acc=0.83, val_acc=0.62, time=0.64
Epoch 171: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.64
Epoch 172: train_loss=0.38, train_acc=0.82, val_acc=0.62, time=0.69
Epoch 173: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.64
Epoch 174: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.67
Epoch 175: train_loss=0.37, train_acc=0.83, val_acc=0.59, time=0.57
Epoch 176: train_loss=0.37, train_acc=0.83, val_acc=0.62, time=0.66
Epoch 177: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.60
Epoch 178: train_loss=0.37, train_acc=0.82, val_acc=0.65, time=0.54
Epoch 179: train_loss=0.37, train_acc=0.83, val_acc=0.62, time=0.61
Epoch 180: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.69
Epoch 181: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.50
Epoch 182: train_loss=0.37, train_acc=0.84, val_acc=0.59, time=0.80
Epoch 183: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.56
Epoch 184: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.67
Epoch 185: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.62
Epoch 186: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.59
Epoch 187: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.54
Epoch 188: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.58
Epoch 189: train_loss=0.37, train_acc=0.83, val_acc=0.68, time=0.50
Epoch 190: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.51
Epoch 191: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.54
Epoch 192: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.56
Epoch 193: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.51
Epoch 194: train_loss=0.37, train_acc=0.85, val_acc=0.62, time=0.54
Epoch 195: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.55
Epoch 196: train_loss=0.37, train_acc=0.84, val_acc=0.65, time=0.55
Epoch 197: train_loss=0.37, train_acc=0.84, val_acc=0.62, time=0.56
Epoch 198: train_loss=0.37, train_acc=0.84, val_acc=0.59, time=0.57
Epoch 199: train_loss=0.37, train_acc=0.83, val_acc=0.65, time=0.74
topology types: {(1,)}
number of topology types: 1
Epoch 0: train_loss=2.18, train_acc=0.53, val_acc=0.44, time=0.73
Epoch 1: train_loss=1.62, train_acc=0.52, val_acc=0.59, time=0.57
Epoch 2: train_loss=1.07, train_acc=0.53, val_acc=0.62, time=0.71
Epoch 3: train_loss=1.11, train_acc=0.52, val_acc=0.56, time=0.52
Epoch 4: train_loss=0.96, train_acc=0.55, val_acc=0.59, time=0.48
Epoch 5: train_loss=0.81, train_acc=0.58, val_acc=0.47, time=0.52
Epoch 6: train_loss=0.66, train_acc=0.64, val_acc=0.59, time=0.48
Epoch 7: train_loss=0.66, train_acc=0.60, val_acc=0.65, time=0.59
Epoch 8: train_loss=0.67, train_acc=0.61, val_acc=0.56, time=0.70
Epoch 9: train_loss=0.81, train_acc=0.57, val_acc=0.50, time=0.54
Epoch 10: train_loss=0.79, train_acc=0.60, val_acc=0.50, time=0.52
Epoch 11: train_loss=0.78, train_acc=0.54, val_acc=0.53, time=0.59
Epoch 12: train_loss=0.70, train_acc=0.63, val_acc=0.56, time=0.59
Epoch 13: train_loss=0.69, train_acc=0.65, val_acc=0.59, time=0.48
Epoch 14: train_loss=0.64, train_acc=0.66, val_acc=0.56, time=0.53
Epoch 15: train_loss=0.59, train_acc=0.67, val_acc=0.59, time=0.53
Epoch 16: train_loss=0.58, train_acc=0.68, val_acc=0.50, time=0.58
Epoch 17: train_loss=0.60, train_acc=0.67, val_acc=0.62, time=0.43
Epoch 18: train_loss=0.59, train_acc=0.67, val_acc=0.47, time=0.59
Epoch 19: train_loss=0.63, train_acc=0.65, val_acc=0.56, time=0.49
Epoch 20: train_loss=0.62, train_acc=0.66, val_acc=0.56, time=0.50
Epoch 21: train_loss=0.63, train_acc=0.65, val_acc=0.50, time=0.64
Epoch 22: train_loss=0.60, train_acc=0.66, val_acc=0.50, time=0.57
Epoch 23: train_loss=0.56, train_acc=0.70, val_acc=0.56, time=0.56
Epoch 24: train_loss=0.56, train_acc=0.69, val_acc=0.56, time=0.48
Epoch 25: train_loss=0.63, train_acc=0.64, val_acc=0.62, time=0.67
Epoch 26: train_loss=0.80, train_acc=0.61, val_acc=0.53, time=0.60
Epoch 27: train_loss=0.74, train_acc=0.62, val_acc=0.62, time=0.62
Epoch 28: train_loss=0.63, train_acc=0.64, val_acc=0.62, time=0.56
Epoch 29: train_loss=0.58, train_acc=0.67, val_acc=0.56, time=0.68
Epoch 30: train_loss=0.56, train_acc=0.73, val_acc=0.59, time=0.62
Epoch 31: train_loss=0.55, train_acc=0.71, val_acc=0.59, time=0.59
Epoch 32: train_loss=0.54, train_acc=0.72, val_acc=0.62, time=0.58
Epoch 33: train_loss=0.53, train_acc=0.72, val_acc=0.62, time=0.60
Epoch 34: train_loss=0.55, train_acc=0.70, val_acc=0.56, time=0.52
Epoch 35: train_loss=0.53, train_acc=0.72, val_acc=0.53, time=0.62
Epoch 36: train_loss=0.56, train_acc=0.71, val_acc=0.59, time=0.61
Epoch 37: train_loss=0.56, train_acc=0.69, val_acc=0.47, time=0.55
Epoch 38: train_loss=0.56, train_acc=0.68, val_acc=0.65, time=0.51
Epoch 39: train_loss=0.54, train_acc=0.69, val_acc=0.56, time=0.52
Epoch 40: train_loss=0.55, train_acc=0.74, val_acc=0.68, time=0.58
Epoch 41: train_loss=0.53, train_acc=0.75, val_acc=0.62, time=0.67
Epoch 42: train_loss=0.56, train_acc=0.70, val_acc=0.59, time=0.53
Epoch 43: train_loss=0.57, train_acc=0.68, val_acc=0.56, time=0.45
Epoch 44: train_loss=0.56, train_acc=0.70, val_acc=0.62, time=0.52
Epoch 45: train_loss=0.57, train_acc=0.70, val_acc=0.59, time=0.47
Epoch 46: train_loss=0.54, train_acc=0.71, val_acc=0.65, time=0.47
Epoch 47: train_loss=0.55, train_acc=0.72, val_acc=0.56, time=0.44
Epoch 48: train_loss=0.68, train_acc=0.67, val_acc=0.41, time=0.52
Epoch 49: train_loss=0.99, train_acc=0.59, val_acc=0.50, time=0.58
Epoch 50: train_loss=0.67, train_acc=0.65, val_acc=0.65, time=0.44
Epoch 51: train_loss=0.56, train_acc=0.72, val_acc=0.62, time=0.44
Epoch 52: train_loss=0.53, train_acc=0.71, val_acc=0.62, time=0.46
Epoch 53: train_loss=0.52, train_acc=0.71, val_acc=0.62, time=0.48
Epoch 54: train_loss=0.52, train_acc=0.72, val_acc=0.59, time=0.42
Epoch 55: train_loss=0.54, train_acc=0.72, val_acc=0.59, time=0.53
Epoch 56: train_loss=0.52, train_acc=0.72, val_acc=0.65, time=0.59
Epoch 57: train_loss=0.50, train_acc=0.76, val_acc=0.68, time=0.60
Epoch 58: train_loss=0.50, train_acc=0.75, val_acc=0.68, time=0.51
Epoch 59: train_loss=0.50, train_acc=0.75, val_acc=0.59, time=0.54
Epoch 60: train_loss=0.51, train_acc=0.73, val_acc=0.62, time=0.49
Epoch 61: train_loss=0.49, train_acc=0.74, val_acc=0.62, time=0.48
Epoch 62: train_loss=0.51, train_acc=0.73, val_acc=0.59, time=0.43
Epoch 63: train_loss=0.51, train_acc=0.73, val_acc=0.71, time=0.43
Epoch 64: train_loss=0.50, train_acc=0.75, val_acc=0.59, time=0.41
Epoch 65: train_loss=0.52, train_acc=0.72, val_acc=0.65, time=0.43
Epoch 66: train_loss=0.50, train_acc=0.75, val_acc=0.59, time=0.49
Epoch 67: train_loss=0.51, train_acc=0.74, val_acc=0.62, time=0.54
Epoch 68: train_loss=0.51, train_acc=0.75, val_acc=0.59, time=0.44
Epoch 69: train_loss=0.50, train_acc=0.74, val_acc=0.65, time=0.48
Epoch 70: train_loss=0.51, train_acc=0.74, val_acc=0.59, time=0.50
Epoch 71: train_loss=0.52, train_acc=0.72, val_acc=0.65, time=0.49
Epoch 72: train_loss=0.50, train_acc=0.75, val_acc=0.62, time=0.44
Epoch 73: train_loss=0.51, train_acc=0.73, val_acc=0.62, time=0.59
Epoch 74: train_loss=0.50, train_acc=0.76, val_acc=0.65, time=0.58
Epoch 75: train_loss=0.49, train_acc=0.76, val_acc=0.68, time=0.61
Epoch 76: train_loss=0.48, train_acc=0.76, val_acc=0.68, time=0.56
Epoch 77: train_loss=0.48, train_acc=0.77, val_acc=0.65, time=0.59
Epoch 78: train_loss=0.48, train_acc=0.75, val_acc=0.62, time=0.44
Epoch 79: train_loss=0.48, train_acc=0.75, val_acc=0.56, time=0.44
Epoch 80: train_loss=0.49, train_acc=0.75, val_acc=0.59, time=0.39
Epoch 81: train_loss=0.47, train_acc=0.77, val_acc=0.62, time=0.47
Epoch 82: train_loss=0.48, train_acc=0.77, val_acc=0.56, time=0.43
Epoch 83: train_loss=0.47, train_acc=0.77, val_acc=0.62, time=0.47
Epoch 84: train_loss=0.47, train_acc=0.77, val_acc=0.65, time=0.54
Epoch 85: train_loss=0.47, train_acc=0.77, val_acc=0.65, time=0.49
Epoch 86: train_loss=0.47, train_acc=0.78, val_acc=0.56, time=0.56
Epoch 87: train_loss=0.48, train_acc=0.77, val_acc=0.62, time=0.42
Epoch 88: train_loss=0.48, train_acc=0.76, val_acc=0.62, time=0.49
Epoch 89: train_loss=0.48, train_acc=0.77, val_acc=0.65, time=0.57
Epoch 90: train_loss=0.49, train_acc=0.76, val_acc=0.62, time=0.45
Epoch 91: train_loss=0.47, train_acc=0.75, val_acc=0.65, time=0.48
Epoch 92: train_loss=0.47, train_acc=0.77, val_acc=0.62, time=0.50
Epoch 93: train_loss=0.47, train_acc=0.77, val_acc=0.56, time=0.50
Epoch 94: train_loss=0.47, train_acc=0.78, val_acc=0.53, time=0.50
Epoch 95: train_loss=0.47, train_acc=0.77, val_acc=0.62, time=0.52
Epoch 96: train_loss=0.47, train_acc=0.77, val_acc=0.62, time=0.51
Epoch 97: train_loss=0.46, train_acc=0.79, val_acc=0.68, time=0.52
Epoch 98: train_loss=0.46, train_acc=0.77, val_acc=0.62, time=0.39
Epoch 99: train_loss=0.47, train_acc=0.76, val_acc=0.62, time=0.45
Epoch 100: train_loss=0.45, train_acc=0.78, val_acc=0.65, time=0.50
Epoch 101: train_loss=0.45, train_acc=0.79, val_acc=0.56, time=0.43
Epoch 102: train_loss=0.46, train_acc=0.79, val_acc=0.68, time=0.40
Epoch 103: train_loss=0.45, train_acc=0.79, val_acc=0.59, time=0.58
Epoch 104: train_loss=0.45, train_acc=0.79, val_acc=0.62, time=0.44
Epoch 105: train_loss=0.45, train_acc=0.79, val_acc=0.62, time=0.50
Epoch 106: train_loss=0.45, train_acc=0.80, val_acc=0.62, time=0.59
Epoch 107: train_loss=0.44, train_acc=0.80, val_acc=0.62, time=0.52
Epoch 108: train_loss=0.45, train_acc=0.80, val_acc=0.59, time=0.62
Epoch 109: train_loss=0.44, train_acc=0.80, val_acc=0.65, time=0.50
Epoch 110: train_loss=0.45, train_acc=0.79, val_acc=0.62, time=0.50
Epoch 111: train_loss=0.45, train_acc=0.79, val_acc=0.65, time=0.45
Epoch 112: train_loss=0.45, train_acc=0.80, val_acc=0.68, time=0.59
Epoch 113: train_loss=0.44, train_acc=0.81, val_acc=0.56, time=0.52
Epoch 114: train_loss=0.45, train_acc=0.77, val_acc=0.59, time=0.46
Epoch 115: train_loss=0.44, train_acc=0.79, val_acc=0.56, time=0.52
Epoch 116: train_loss=0.44, train_acc=0.79, val_acc=0.62, time=0.47
Epoch 117: train_loss=0.44, train_acc=0.79, val_acc=0.62, time=0.49
Epoch 118: train_loss=0.44, train_acc=0.80, val_acc=0.65, time=0.49
Epoch 119: train_loss=0.44, train_acc=0.81, val_acc=0.68, time=0.55
Epoch 120: train_loss=0.44, train_acc=0.79, val_acc=0.62, time=0.53
Epoch 121: train_loss=0.44, train_acc=0.80, val_acc=0.62, time=0.45
Epoch 122: train_loss=0.44, train_acc=0.79, val_acc=0.59, time=0.60
Epoch 123: train_loss=0.44, train_acc=0.80, val_acc=0.65, time=0.52
Epoch 124: train_loss=0.44, train_acc=0.81, val_acc=0.62, time=0.53
Epoch 125: train_loss=0.44, train_acc=0.78, val_acc=0.62, time=0.57
Epoch 126: train_loss=0.44, train_acc=0.81, val_acc=0.59, time=0.56
Epoch 127: train_loss=0.43, train_acc=0.79, val_acc=0.62, time=0.52
Epoch 128: train_loss=0.44, train_acc=0.78, val_acc=0.65, time=0.62
Epoch 129: train_loss=0.43, train_acc=0.79, val_acc=0.56, time=0.59
Epoch 130: train_loss=0.44, train_acc=0.79, val_acc=0.59, time=0.53
Epoch 131: train_loss=0.44, train_acc=0.79, val_acc=0.68, time=0.48
Epoch 132: train_loss=0.44, train_acc=0.80, val_acc=0.62, time=0.50
Epoch 133: train_loss=0.43, train_acc=0.80, val_acc=0.62, time=0.60
Epoch 134: train_loss=0.43, train_acc=0.81, val_acc=0.65, time=0.57
Epoch 135: train_loss=0.44, train_acc=0.81, val_acc=0.68, time=0.51
Epoch 136: train_loss=0.43, train_acc=0.81, val_acc=0.65, time=0.58
Epoch 137: train_loss=0.43, train_acc=0.81, val_acc=0.65, time=0.60
Epoch 138: train_loss=0.44, train_acc=0.81, val_acc=0.68, time=0.64
Epoch 139: train_loss=0.44, train_acc=0.79, val_acc=0.62, time=0.62
Epoch 140: train_loss=0.43, train_acc=0.81, val_acc=0.62, time=0.56
Epoch 141: train_loss=0.43, train_acc=0.80, val_acc=0.50, time=0.58
Epoch 142: train_loss=0.43, train_acc=0.81, val_acc=0.65, time=0.59
Epoch 143: train_loss=0.43, train_acc=0.80, val_acc=0.62, time=0.65
Epoch 144: train_loss=0.43, train_acc=0.81, val_acc=0.65, time=0.54
Epoch 145: train_loss=0.43, train_acc=0.80, val_acc=0.65, time=0.56
Epoch 146: train_loss=0.42, train_acc=0.81, val_acc=0.59, time=0.55
Epoch 147: train_loss=0.43, train_acc=0.81, val_acc=0.62, time=0.60
Epoch 148: train_loss=0.43, train_acc=0.79, val_acc=0.65, time=0.59
Epoch 149: train_loss=0.43, train_acc=0.80, val_acc=0.59, time=0.58
Epoch 150: train_loss=0.42, train_acc=0.80, val_acc=0.65, time=0.51
Epoch 151: train_loss=0.42, train_acc=0.82, val_acc=0.65, time=0.50
Epoch 152: train_loss=0.42, train_acc=0.82, val_acc=0.65, time=0.52
Epoch 153: train_loss=0.42, train_acc=0.83, val_acc=0.65, time=0.50
Epoch 154: train_loss=0.42, train_acc=0.81, val_acc=0.65, time=0.51
Epoch 155: train_loss=0.42, train_acc=0.81, val_acc=0.65, time=0.50
Epoch 156: train_loss=0.42, train_acc=0.81, val_acc=0.62, time=0.51
Epoch 157: train_loss=0.42, train_acc=0.82, val_acc=0.56, time=0.53
Epoch 158: train_loss=0.42, train_acc=0.81, val_acc=0.65, time=0.53
Epoch 159: train_loss=0.42, train_acc=0.82, val_acc=0.62, time=0.59
Epoch 160: train_loss=0.42, train_acc=0.82, val_acc=0.62, time=0.55
Epoch 161: train_loss=0.42, train_acc=0.81, val_acc=0.65, time=0.68
Epoch 162: train_loss=0.42, train_acc=0.82, val_acc=0.62, time=0.63
Epoch 163: train_loss=0.42, train_acc=0.81, val_acc=0.62, time=0.52
Epoch 164: train_loss=0.42, train_acc=0.82, val_acc=0.65, time=0.54
Epoch 165: train_loss=0.41, train_acc=0.83, val_acc=0.59, time=0.49
Epoch 166: train_loss=0.42, train_acc=0.80, val_acc=0.62, time=0.55
Epoch 167: train_loss=0.41, train_acc=0.82, val_acc=0.65, time=0.58
Epoch 168: train_loss=0.42, train_acc=0.83, val_acc=0.59, time=0.53
Epoch 169: train_loss=0.42, train_acc=0.80, val_acc=0.62, time=0.53
Epoch 170: train_loss=0.42, train_acc=0.81, val_acc=0.62, time=0.54
Epoch 171: train_loss=0.41, train_acc=0.82, val_acc=0.62, time=0.61
Epoch 172: train_loss=0.41, train_acc=0.83, val_acc=0.59, time=0.55
Epoch 173: train_loss=0.41, train_acc=0.80, val_acc=0.59, time=0.58
Epoch 174: train_loss=0.41, train_acc=0.81, val_acc=0.62, time=0.53
Epoch 175: train_loss=0.42, train_acc=0.80, val_acc=0.56, time=0.49
Epoch 176: train_loss=0.41, train_acc=0.82, val_acc=0.59, time=0.52
Epoch 177: train_loss=0.41, train_acc=0.81, val_acc=0.62, time=0.53
Epoch 178: train_loss=0.41, train_acc=0.81, val_acc=0.62, time=0.59
Epoch 179: train_loss=0.41, train_acc=0.81, val_acc=0.59, time=0.72
Epoch 180: train_loss=0.41, train_acc=0.82, val_acc=0.62, time=0.62
Epoch 181: train_loss=0.41, train_acc=0.82, val_acc=0.62, time=0.76
Epoch 182: train_loss=0.41, train_acc=0.84, val_acc=0.59, time=0.76
Epoch 183: train_loss=0.41, train_acc=0.82, val_acc=0.62, time=0.64
Epoch 184: train_loss=0.41, train_acc=0.82, val_acc=0.62, time=0.65
